9993	7	
8707	255	1038	
8674	252	1074	
8644	242	1114	
8615	231	1154	
8588	226	1186	
8562	210	1228	
8546	194	1260	
8534	173	1293	
8521	153	1326	
8512	132	1356	
8507	108	1385	
8495	93	1412	
8486	76	1438	
8477	69	1454	
8466	68	1466	
8459	62	1479	
8446	66	1488	
8435	72	1493	
8422	73	1505	
8411	75	1514	
8399	78	1523	
8391	75	1534	
8378	81	1541	
8369	77	1554	
8361	74	1565	
8354	68	1578	
8346	65	1589	
8335	64	1601	
8324	67	1609	
8313	65	1622	
8299	70	1631	
8289	72	1639	
8276	78	1646	
8265	81	1654	
8255	80	1665	
8248	76	1676	
8238	75	1687	
8228	71	1701	
8219	70	1711	
8207	69	1724	
8199	66	1735	
8190	65	1745	
8180	68	1752	
8172	66	1762	
8160	68	1772	
8151	68	1781	
8141	66	1793	
8131	68	1801	
8120	70	1810	
8113	67	1820	
8105	67	1828	
8101	59	1840	
8096	55	1849	
8092	49	1859	
8091	40	1869	
8090	30	1880	
9980	20	
9961	39	
9936	64	
9905	95	
9861	139	
9804	196	
9745	247	8	
9663	317	20	
9585	376	39	
9991	9	
9982	18	
9968	32	
9952	48	
9934	66	
9910	90	
9881	116	3	
9850	141	9	
9824	158	18	
9792	176	32	
9763	189	48	
9725	209	66	
9681	229	90	
9637	244	119	
9589	261	150	
9541	283	176	
9494	298	208	
9443	320	237	
9398	327	275	
9348	333	319	
9288	349	363	
9245	344	411	
9193	348	459	
9151	343	506	
9103	340	557	
9058	340	602	
9013	335	652	
8965	323	712	
8916	329	755	
8870	323	807	
8831	320	849	
8802	301	897	
8766	292	942	
8738	275	987	
9979	21	
9962	38	
9933	67	
9903	97	
9861	139	
9812	188	
9750	242	8	
9674	305	21	
9577	385	38	
9486	447	67	
9388	515	97	
9287	574	139	
9173	639	188	
9042	708	250	
9978	22	
9955	45	
9926	74	
9889	111	
9837	163	
9784	216	
9710	280	10	
9650	328	22	
9562	393	45	
9459	467	74	
9339	550	111	
9230	607	163	
9100	684	216	
8975	735	290	
