35	45				
35	45				
35	45				
35	45				
35	45				
35	45				
5	30	35	45		
5	30	35	45		
5	45				
5	45				
5	30	35	45		
5	30	35	45		
25	30	100	120		
25	30	100	120		
25	30	100	120		
25	30	100	120		
10	50	55	95	100	125
10	50	55	95	100	125
10	95	100	125		
10	95	100	125		
10	50	55	125		
10	50	55	125		
20	30	65	85	100	125
20	30	65	85	100	125
20	30	60	85	90	125
20	30	60	85	90	125
10	35	60	85	90	125
10	35	60	85	90	125
10	35	60	85	90	125
10	35	60	85	115	120
20	35	60	85	90	140
20	35	60	85	90	140
15	50	60	85	90	140
15	50	60	85	90	140
15	130				
15	130				
15	125				
15	125				
20	35	60	85	90	120
20	35	60	85	90	120
20	35	65	85	90	120
20	35	65	85	90	120
0	45	65	85	90	120
0	45	65	85	90	120
0	45	65	85	90	120
0	45	65	85	90	120
0	45	65	85	90	120
0	45	65	85	90	120
25	30	70	85	90	120
15	85	100	120		
15	85	100	120		
15	85	100	120		
15	85	100	120		
15	60	70	120		
15	60	70	120		
15	60	70	115		
15	60	70	115		
15	35	80	110 		
15	35	80	110 		
15	35	80	105 		
15	35	80	105 		
15	35	95	100 		
15	35	95	100 		
95	100				
95	100				
45	85	95	100		
45	85	95	100		
45	85	80	105		
45	85	80	105		
20	105				
20	105				
20	85	80	105		
20	85	80	105		
45	60	80	105		
45	60	80	105		
30	55	80	105		
30	55	80	105		
30	50	80	105		
30	50	80	105		
30	45	70	105		
30	45	70	105		
85	100				
85	100				
